MATINH,MAHUYEN,MAXA,MADIABAN,SONHANKHAU,soho,ky,ttnt,dbmauchu,tentinh,tenhuyen,tenxa,tendb,thon,tenthon,ttnt2019,db2019,db2022,xa2019,xa2022,dakhaosat,kqrasoat,hhur2020,soxa45,wt45,soxa36,wt36,soxa9,wt9,WT_SCIECO
1,278,10132,24,56,15,7,2,719,Thành phố Hà Nội,Huyện Thanh Oai,Xã Cao Viên,Xóm Thắng Lợi 2,004,Thôn Đàn Viên,2,142,145,5451,5482,Đã khảo sát 2020 và 2021,0,1086806,68,1088,68,1360,68,5440,60928
1,278,10147,17,54,15,2,2,725,Thành phố Hà Nội,Huyện Thanh Oai,Xã Thanh Mai,My Hạ 5,003,My Hạ,2,181,181,3144,3150,Đã khảo sát 2021,0,1086806,68,1065,68,1332,68,5327,57510
1,278,10180,20,48,15,1,2,734,Thành phố Hà Nội,Huyện Thanh Oai,Xã Hồng Dương,Phương Nhị 1,007,Thôn Phương Nhị,2,163,163,3360,3428,Mới,0,1086806,68,1065,68,1332,68,5327,51120
1,279,10186,17,47,15,10,2,736,Thành phố Hà Nội,Huyện Thường Tín,Xã Ninh Sở,Sở Hạ 3,007,Sở Hạ,2,119,123,2729,3066,Đã khảo sát 2020,0,1086806,68,1101,68,1377,68,5507,51747
1,279,10210,3,76,15,4,2,742,Thành phố Hà Nội,Huyện Thường Tín,Xã Vân Tảo,Đội 2,002,Thôn Xâm Động,2,218,223,3001,3015,Đã khảo sát 2020 và 2021,0,1086806,68,1090,68,1362,68,5450,82840
1,279,10231,1,62,15,1,2,748,Thành phố Hà Nội,Huyện Thường Tín,Xã Nguyễn Trãi,Mễ Sơn 1,001,Mễ Sơn,2,135,135,2963,3185,Đã khảo sát 2021,0,1086806,68,1065,68,1332,68,5327,66030
1,279,10234,1,53,15,6,2,749,Thành phố Hà Nội,Huyện Thường Tín,Xã Quất Động,Quất Tỉnh 1,001,Quất Tỉnh,2,123,110,2413,2464,Mới,0,1086806,68,953,68,1191,68,4764,50509
1,279,10264,13,48,15,12,2,758,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Phố Ga,003,Đỗ Xá,2,230,234,2310,2389,Đã khảo sát 2020,0,1086806,68,1084,68,1355,68,5420,52032
1,280,10273,5,56,15,5,1,759,Thành phố Hà Nội,Huyện Phú Xuyên,Thị trấn Phú Xuyên,Xóm Trung,001,Tiểu khu Phú Mỹ,1,188,188,3536,3676,Đã khảo sát 2021,0,1231752.97,72,1141,72,1426,72,5703,63896
1,280,10294,8,58,15,5,2,765,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Phú Túc,Xóm Giữa 1,004,Tư Sản,2,144,146,2660,2842,Đã khảo sát 2020 và 2021,0,1086806,68,1080,68,1350,68,5401,62640
1,280,10303,3,41,15,7,2,767,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Hoàng Long,Cầu Cong 1,002,Thanh Xuyên,2,108,108,2962,3169,Mới,0,1086806,68,1065,68,1332,68,5327,43665
1,280,10321,16,57,15,6,2,772,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Chuyên Mỹ,Xóm Ao Lăng thôn Bối Khê,006,Thôn Bối Khê,2,115,116,2880,2979,Đã khảo sát 2021,0,1086806,68,1075,68,1343,68,5374,61275
1,280,10345,6,55,15,3,2,778,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Quang Lãng,Xóm Đình,005,Thôn Tầm Thượng,2,144,144,1549,1623,Mới,0,1086806,68,1065,68,1332,68,5327,58575
1,281,10363,4,46,15,8,2,783,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Hoa Sơn,Xóm 1 Miêng Thượng,001,Miêng Thượng,2,129,131,2112,2107,Đã khảo sát 2020,0,1086806,68,1082,68,1353,68,5410,49772
